Sample ID,Family ID,Sex,Population,Superpopulation,Repository,Description,Affected,References,Link
NA19143,Y074,F,YRI,AFR,NHGRI,INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA;INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA (PLATE I);CYTOCHROME P450- SUBFAMILY IIC- POLYPEPTIDE 19; CYP2C19;1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN- NIGERIA,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19143"",""NA19143"")"
NA19147,Y075,F,YRI,AFR,NHGRI,INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA;INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA (PLATE II);1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN- NIGERIA,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19147"",""NA19147"")"
NA19174,Y100,M,YRI,AFR,NHGRI,INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA;INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA (PLATE II),NA,GeT-RM PGx 28;1kg_phase3,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19174"",""NA19174"")"
NA19176,Y044,F,YRI,AFR,NHGRI,INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA;INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA (PLATE II),NA,GeT-RM PGx 28;1kg_phase3,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19176"",""NA19176"")"
NA19178,Y038,M,YRI,AFR,NHGRI,INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA;INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA (PLATE II),NA,GeT-RM PGx 28,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19178"",""NA19178"")"
NA19207,Y051,M,YRI,AFR,NHGRI,INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA;INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA (PLATE I);CYTOCHROME P450- SUBFAMILY IIC- POLYPEPTIDE 19; CYP2C19;1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN- NIGERIA,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19207"",""NA19207"")"
NA19213,Y110,M,YRI,AFR,NHGRI,INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA;INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA (PLATE II);1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN- NIGERIA,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19213"",""NA19213"")"
NA19226,Y057,M,YRI,AFR,NHGRI,INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA;INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA (PLATE II),NA,GeT-RM PGx 28;1kg_phase3,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19226"",""NA19226"")"
NA19239,Y117,M,YRI,AFR,NHGRI,INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA;INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA (PLATE I);CYTOCHROME P450- SUBFAMILY IIC- POLYPEPTIDE 19; CYP2C19;1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN- NIGERIA,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19239"",""NA19239"")"
NA19819,2418,F,ASW,AMR,NHGRI,INTERNATIONAL HAPMAP PROJECT - AFRICAN ANCESTRY IN SOUTHWEST USA;INTERNATIONAL HAPMAP PROJECT - PLATE OF AFRICAN ANCESTRY IN SOUTHWEST USA;1000 GENOMES PROJECT - PANEL OF 62 AFRICAN ANCESTRY IN SOUTHWEST USA,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19819"",""NA19819"")"
NA19908,2427,M,ASW,AMR,NHGRI,INTERNATIONAL HAPMAP PROJECT - AFRICAN ANCESTRY IN SOUTHWEST USA;INTERNATIONAL HAPMAP PROJECT - PLATE OF AFRICAN ANCESTRY IN SOUTHWEST USA;1000 GENOMES PROJECT - PANEL OF 62 AFRICAN ANCESTRY IN SOUTHWEST USA,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19908"",""NA19908"")"
NA19917,2431,F,ASW,AMR,NHGRI,INTERNATIONAL HAPMAP PROJECT - AFRICAN ANCESTRY IN SOUTHWEST USA;INTERNATIONAL HAPMAP PROJECT - PLATE OF AFRICAN ANCESTRY IN SOUTHWEST USA;1000 GENOMES PROJECT - PANEL OF 62 AFRICAN ANCESTRY IN SOUTHWEST USA,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19917"",""NA19917"")"
NA19920,2433,M,ASW,AMR,NHGRI,INTERNATIONAL HAPMAP PROJECT - AFRICAN ANCESTRY IN SOUTHWEST USA;INTERNATIONAL HAPMAP PROJECT - PLATE OF AFRICAN ANCESTRY IN SOUTHWEST USA;1000 GENOMES PROJECT - PANEL OF 62 AFRICAN ANCESTRY IN SOUTHWEST USA,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19920"",""NA19920"")"
NA20296,2475,F,ASW,AMR,NHGRI,INTERNATIONAL HAPMAP PROJECT - AFRICAN ANCESTRY IN SOUTHWEST USA;INTERNATIONAL HAPMAP PROJECT - PLATE OF AFRICAN ANCESTRY IN SOUTHWEST USA;1000 GENOMES PROJECT - PANEL OF 62 AFRICAN ANCESTRY IN SOUTHWEST USA,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA20296"",""NA20296"")"
NA19789,M037,M,MXL,AMR,NHGRI,INTERNATIONAL HAPMAP PROJECT - MEXICAN ANCESTRY IN LOS ANGELES- CALIFORNIA- USA;INTERNATIONAL HAPMAP PROJECT - PANEL OF 90 MEXICAN ANCESTRY IN LOS ANGELES- CALIFORNIA- USA;1000 GENOMES PROJECT - PANEL OF 71 MEXICAN ANCESTRY IN LOS ANGELES- CALIFORNIA- USA,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19789"",""NA19789"")"
HG01190,PR40,M,PUR,AMR,NHGRI,1000 GENOMES PROJECT - PUERTO RICAN IN PUERTO RICO;1000 GENOMES PROJECT - PANEL OF 70 PUERTO RICAN IN PUERTO RICO,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01190"",""HG01190"")"
HG00436,SH012,M,CHS,EAS,NHGRI,1000 GENOMES PROJECT - HAN CHINESE SOUTH- CHINA;1000 GENOMES PROJECT - PANEL OF 100 HAN CHINESE SOUTH- CHINA,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00436"",""HG00436"")"
HG00589,SH056,M,CHS,EAS,NHGRI,1000 GENOMES PROJECT - HAN CHINESE SOUTH- CHINA;1000 GENOMES PROJECT - PANEL OF 100 HAN CHINESE SOUTH- CHINA,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00589"",""HG00589"")"
NA18524,NA,M,CHS,EAS,NHGRI,INTERNATIONAL HAPMAP PROJECT - HAN CHINESE IN BEIJING- CHINA;INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO- JAPAN AND HAN CHINESE IN BEIJING- CHINA (PLATE I);1000 GENOMES PROJECT - PANEL OF 120 HAN CHINESE FROM BEIJING- CHINA;CYTOCHROME P450- SUBFAMILY IIC- POLYPEPTIDE 19; CYP2C19;CYTOCHROME P450- SUBFAMILY IIC- POLYPEPTIDE 9; CYP2C9,NA,GeT-RM PGx 28,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18524"",""NA18524"")"
NA18526,NA,F,CHS,EAS,NHGRI,INTERNATIONAL HAPMAP PROJECT - HAN CHINESE IN BEIJING- CHINA;INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO- JAPAN AND HAN CHINESE IN BEIJING- CHINA (PLATE I);1000 GENOMES PROJECT - PANEL OF 120 HAN CHINESE FROM BEIJING- CHINA;CYTOCHROME P450- SUBFAMILY IIC- POLYPEPTIDE 19; CYP2C19,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18526"",""NA18526"")"
NA18540,NA,F,CHS,EAS,NHGRI,INTERNATIONAL HAPMAP PROJECT - HAN CHINESE IN BEIJING- CHINA;INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO- JAPAN AND HAN CHINESE IN BEIJING- CHINA (PLATE I);1000 GENOMES PROJECT - PANEL OF 120 HAN CHINESE FROM BEIJING- CHINA;CYTOCHROME P450- SUBFAMILY IIC- POLYPEPTIDE 19; CYP2C19,NA,GeT-RM PGx 28,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18540"",""NA18540"")"
NA18544,NA,M,CHS,EAS,NHGRI,INTERNATIONAL HAPMAP PROJECT - HAN CHINESE IN BEIJING- CHINA;INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO- JAPAN AND HAN CHINESE IN BEIJING- CHINA (PLATE II);1000 GENOMES PROJECT - PANEL OF 120 HAN CHINESE FROM BEIJING- CHINA,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18544"",""NA18544"")"
NA18552,NA,F,CHS,EAS,NHGRI,INTERNATIONAL HAPMAP PROJECT - HAN CHINESE IN BEIJING- CHINA;INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO- JAPAN AND HAN CHINESE IN BEIJING- CHINA (PLATE I);1000 GENOMES PROJECT - PANEL OF 120 HAN CHINESE FROM BEIJING- CHINA;CYTOCHROME P450- SUBFAMILY IIC- POLYPEPTIDE 19; CYP2C19,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18552"",""NA18552"")"
NA18564,NA,F,CHS,EAS,NHGRI,INTERNATIONAL HAPMAP PROJECT - HAN CHINESE IN BEIJING- CHINA;INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO- JAPAN AND HAN CHINESE IN BEIJING- CHINA (PLATE I);1000 GENOMES PROJECT - PANEL OF 120 HAN CHINESE FROM BEIJING- CHINA;CYTOCHROME P450- SUBFAMILY IIC- POLYPEPTIDE 19; CYP2C19,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18564"",""NA18564"")"
NA18565,NA,F,CHS,EAS,NHGRI,INTERNATIONAL HAPMAP PROJECT - HAN CHINESE IN BEIJING- CHINA;1000 GENOMES PROJECT - PANEL OF 120 HAN CHINESE FROM BEIJING- CHINA,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18565"",""NA18565"")"
NA18617,NA,F,CHS,EAS,NHGRI,INTERNATIONAL HAPMAP PROJECT - HAN CHINESE IN BEIJING- CHINA;INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO- JAPAN AND HAN CHINESE IN BEIJING- CHINA (PLATE II);1000 GENOMES PROJECT - PANEL OF 120 HAN CHINESE FROM BEIJING- CHINA,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18617"",""NA18617"")"
NA18942,NA,F,JPT,EAS,NHGRI,INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO- JAPAN;INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO- JAPAN AND HAN CHINESE IN BEIJING- CHINA (PLATE I);1000 GENOMES PROJECT - PANEL OF 120 JAPANESE IN TOKYO- JAPAN;CYTOCHROME P450- SUBFAMILY IIC- POLYPEPTIDE 19; CYP2C19,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18942"",""NA18942"")"
NA18952,NA,M,JPT,EAS,NHGRI,INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO- JAPAN;INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO- JAPAN AND HAN CHINESE IN BEIJING- CHINA (PLATE I);1000 GENOMES PROJECT - PANEL OF 120 JAPANESE IN TOKYO- JAPAN;CYTOCHROME P450- SUBFAMILY IIC- POLYPEPTIDE 19; CYP2C19,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18952"",""NA18952"")"
NA18959,NA,M,JPT,EAS,NHGRI,INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO- JAPAN;INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO- JAPAN AND HAN CHINESE IN BEIJING- CHINA (PLATE I);1000 GENOMES PROJECT - PANEL OF 120 JAPANESE IN TOKYO- JAPAN;CYTOCHROME P450- SUBFAMILY IIC- POLYPEPTIDE 9; CYP2C9;CYTOCHROME P450- SUBFAMILY IIC- POLYPEPTIDE 19; CYP2C19,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18959"",""NA18959"")"
NA18966,NA,M,JPT,EAS,NHGRI,INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO- JAPAN;INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO- JAPAN AND HAN CHINESE IN BEIJING- CHINA (PLATE I);1000 GENOMES PROJECT - PANEL OF 120 JAPANESE IN TOKYO- JAPAN;CYTOCHROME P450- SUBFAMILY IIC- POLYPEPTIDE 19; CYP2C19,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18966"",""NA18966"")"
NA18973,NA,F,JPT,EAS,NHGRI,INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO- JAPAN;INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO- JAPAN AND HAN CHINESE IN BEIJING- CHINA (PLATE I);1000 GENOMES PROJECT - PANEL OF 120 JAPANESE IN TOKYO- JAPAN;CYTOCHROME P450- SUBFAMILY IIC- POLYPEPTIDE 19; CYP2C19,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18973"",""NA18973"")"
NA18980,NA,F,JPT,EAS,NHGRI,INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO- JAPAN;INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO- JAPAN AND HAN CHINESE IN BEIJING- CHINA (PLATE I);1000 GENOMES PROJECT - PANEL OF 120 JAPANESE IN TOKYO- JAPAN;CYTOCHROME P450- SUBFAMILY IIC- POLYPEPTIDE 19; CYP2C19,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18980"",""NA18980"")"
NA18992,NA,F,JPT,EAS,NHGRI,INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO- JAPAN;INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO- JAPAN AND HAN CHINESE IN BEIJING- CHINA (PLATE I);1000 GENOMES PROJECT - PANEL OF 120 JAPANESE IN TOKYO- JAPAN;CYTOCHROME P450- SUBFAMILY IIC- POLYPEPTIDE 19; CYP2C19,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18992"",""NA18992"")"
NA19003,NA,F,JPT,EAS,NHGRI,INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO- JAPAN;INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO- JAPAN AND HAN CHINESE IN BEIJING- CHINA (PLATE I);1000 GENOMES PROJECT - PANEL OF 120 JAPANESE IN TOKYO- JAPAN;CYTOCHROME P450- SUBFAMILY IIC- POLYPEPTIDE 19; CYP2C19,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19003"",""NA19003"")"
NA19007,NA,M,JPT,EAS,NHGRI,INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO- JAPAN;INTERNATIONAL HAPMAP PROJECT - JAPANESE IN TOKYO- JAPAN AND HAN CHINESE IN BEIJING- CHINA (PLATE I);1000 GENOMES PROJECT - PANEL OF 120 JAPANESE IN TOKYO- JAPAN;CYTOCHROME P450- SUBFAMILY IIC- POLYPEPTIDE 19; CYP2C19,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19007"",""NA19007"")"
NA06991,1341,F,CEU,EUR,NIGMS,CEPH/UTAH PEDIGREE 1341;INTERNATIONAL HAPMAP PROJECT - CEPH (PLATE I) [UTAH RESIDENTS WITH ANCESTRY FROM NORTHERN AND WESTERN EUROPE];CYTOCHROME P450- SUBFAMILY IIC- POLYPEPTIDE 19; CYP2C19;INTERNATIONAL HAPMAP PROJECT - CEPH [UTAH RESIDENTS WITH ANCESTRY FROM NORTHERN AND WESTERN EUROPE];NA CUSTOM SERVICE PLATE 01,NA,GeT-RM PGx 28;1kg_phase3,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA06991"",""NA06991"")"
NA07000,1340,F,CEU,EUR,NIGMS,CEPH/UTAH PEDIGREE 1340;INTERNATIONAL HAPMAP PROJECT - CEPH (PLATE I) [UTAH RESIDENTS WITH ANCESTRY FROM NORTHERN AND WESTERN EUROPE];CYTOCHROME P450- SUBFAMILY IIC- POLYPEPTIDE 19; CYP2C19;INTERNATIONAL HAPMAP PROJECT - CEPH [UTAH RESIDENTS WITH ANCESTRY FROM NORTHERN AND WESTERN EUROPE];NA CUSTOM SERVICE PLATE 01,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA07000"",""NA07000"")"
NA07019,1340,F,CEU,EUR,NIGMS,CEPH/UTAH PEDIGREE 1340;INTERNATIONAL HAPMAP PROJECT - CEPH (PLATE I) [UTAH RESIDENTS WITH ANCESTRY FROM NORTHERN AND WESTERN EUROPE];HUMAN VARIATION PANEL - EUROPEAN CAUCASIAN PANEL OF 8;HUMAN VARIATION PANEL - EUROPEAN CAUCASIAN PANEL OF 16;HUMAN VARIATION PANEL - EUROPEAN CAUCASIAN PANEL OF 24;NA CUSTOM SERVICE PLATE 01;INTERNATIONAL HAPMAP PROJECT - CEPH [UTAH RESIDENTS WITH ANCESTRY FROM NORTHERN AND WESTERN EUROPE];CYTOCHROME P450- SUBFAMILY IIC- POLYPEPTIDE 19; CYP2C19,NA,GeT-RM PGx 28;1kg_phase3,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA07019"",""NA07019"")"
NA07029,1340,M,CEU,EUR,NIGMS,CEPH/UTAH PEDIGREE 1340;INTERNATIONAL HAPMAP PROJECT - CEPH (PLATE I) [UTAH RESIDENTS WITH ANCESTRY FROM NORTHERN AND WESTERN EUROPE];CYTOCHROME P450- SUBFAMILY IIC- POLYPEPTIDE 19; CYP2C19;INTERNATIONAL HAPMAP PROJECT - CEPH [UTAH RESIDENTS WITH ANCESTRY FROM NORTHERN AND WESTERN EUROPE];NA CUSTOM SERVICE PLATE 01,NA,GeT-RM PGx 28;1kg_phase3,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA07029"",""NA07029"")"
NA07055,1341,F,CEU,EUR,NIGMS,CEPH/UTAH PEDIGREE 1341;INTERNATIONAL HAPMAP PROJECT - CEPH (PLATE I) [UTAH RESIDENTS WITH ANCESTRY FROM NORTHERN AND WESTERN EUROPE];CYTOCHROME P450- SUBFAMILY IIC- POLYPEPTIDE 19; CYP2C19;INTERNATIONAL HAPMAP PROJECT - CEPH [UTAH RESIDENTS WITH ANCESTRY FROM NORTHERN AND WESTERN EUROPE];NA CUSTOM SERVICE PLATE 01,NA,GeT-RM PGx 28;1kg_phase3,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA07055"",""NA07055"")"
